,0
Identity_Changed_Flag,0.46402249306104143
Enriched_Days_Open,0.07824546903300568
Enriched_Safety_Rating,0.06525634525734966
Claim_Amount,0.053072763285072024
Coverage_Amount,0.05300811285778728
Premium_Amount,0.05264171085189603
Credit_Score,0.05192319189983107
Age,0.04189823414764759
Enriched_Form_Defects_Count,0.03383272845352591
Enriched_Past_Claims_Count,0.0176870866064203
Enriched_Address_Change_Flag,0.008745209104219187
Enriched_Witness_Present,0.007629654193552339
Enriched_Police_Report_Filed,0.007591281438292389
Enriched_Claim_Channel_Phone,0.006914231414636129
Gender_Male,0.006254591821880193
