Customer_ID,total_logins,new_device_rate,unusual_location_rate,off_hours_rate,avg_failed_attempts,failed_auth_rate,distinct_devices,anomaly_score,is_anomalous
CUST016952,1,1.0,1.0,1.0,4.0,1.0,1,0.7327898196379425,1
CUST003707,1,1.0,1.0,1.0,4.0,1.0,1,0.7327898196379425,1
CUST016362,1,1.0,1.0,1.0,3.0,1.0,1,0.7156742982570924,1
CUST007642,1,1.0,0.0,1.0,4.0,1.0,1,0.7128880223929331,1
CUST016259,1,1.0,0.0,1.0,4.0,1.0,1,0.7128880223929331,1
CUST013980,1,1.0,0.0,1.0,4.0,1.0,1,0.7128880223929331,1
CUST003335,1,1.0,0.0,1.0,4.0,1.0,1,0.7128880223929331,1
CUST016218,1,1.0,0.0,1.0,4.0,1.0,1,0.7128880223929331,1
CUST019237,1,0.0,1.0,1.0,4.0,1.0,1,0.7060668891791833,1
CUST009380,1,0.0,1.0,1.0,4.0,1.0,1,0.7060668891791833,1
CUST004466,1,0.0,1.0,1.0,4.0,1.0,1,0.7060668891791833,1
CUST002632,1,0.0,1.0,1.0,4.0,1.0,1,0.7060668891791833,1
CUST000366,1,0.0,1.0,1.0,4.0,1.0,1,0.7060668891791833,1
CUST011591,1,0.0,1.0,1.0,4.0,1.0,1,0.7060668891791833,1
CUST014934,1,0.0,1.0,1.0,4.0,1.0,1,0.7060668891791833,1
CUST004147,1,0.0,1.0,1.0,4.0,1.0,1,0.7060668891791833,1
CUST006209,1,0.0,1.0,1.0,4.0,1.0,1,0.7060668891791833,1
CUST018398,1,0.0,1.0,1.0,4.0,1.0,1,0.7060668891791833,1
CUST007135,1,1.0,1.0,1.0,2.0,1.0,1,0.7053019373719762,1
CUST018777,1,1.0,1.0,1.0,2.0,1.0,1,0.7053019373719762,1
CUST010116,1,1.0,1.0,1.0,2.0,1.0,1,0.7053019373719762,1
CUST014927,1,1.0,1.0,1.0,2.0,1.0,1,0.7053019373719762,1
CUST019212,6,0.6666666666666666,0.8333333333333334,0.6666666666666666,1.0,0.3333333333333333,6,0.7048273702902721,1
CUST011551,1,1.0,1.0,1.0,1.0,1.0,1,0.7034789584552738,1
CUST017709,2,1.0,1.0,0.5,3.0,1.0,2,0.698838346933413,1
CUST005978,5,1.0,1.0,0.4,1.2,0.4,5,0.6953939787035899,1
CUST009751,1,1.0,0.0,1.0,3.0,1.0,1,0.6924663327520577,1
CUST009697,1,1.0,0.0,1.0,3.0,1.0,1,0.6924663327520577,1
CUST016137,1,1.0,0.0,1.0,3.0,1.0,1,0.6924663327520577,1
CUST010726,1,1.0,0.0,1.0,3.0,1.0,1,0.6924663327520577,1
CUST006385,7,0.8571428571428571,0.42857142857142855,0.14285714285714285,1.4285714285714286,0.42857142857142855,7,0.6912423470492502,1
CUST015558,3,1.0,0.6666666666666666,0.6666666666666666,1.3333333333333333,1.0,3,0.687634139695326,1
CUST008363,9,1.0,0.2222222222222222,0.1111111111111111,0.7777777777777778,0.2222222222222222,9,0.6854149356374751,1
CUST016154,1,0.0,1.0,1.0,3.0,1.0,1,0.6852902031025274,1
CUST015504,1,0.0,1.0,1.0,3.0,1.0,1,0.6852902031025274,1
CUST004632,1,0.0,1.0,1.0,3.0,1.0,1,0.6852902031025274,1
CUST000572,1,0.0,1.0,1.0,3.0,1.0,1,0.6852902031025274,1
CUST014414,1,1.0,1.0,0.0,4.0,1.0,1,0.6850125405618902,1
CUST001634,1,1.0,1.0,0.0,4.0,1.0,1,0.6850125405618902,1
CUST006032,1,1.0,1.0,0.0,4.0,1.0,1,0.6850125405618902,1
CUST004337,1,1.0,1.0,0.0,4.0,1.0,1,0.6850125405618902,1
CUST012063,1,1.0,1.0,0.0,4.0,1.0,1,0.6850125405618902,1
CUST004481,1,1.0,1.0,0.0,4.0,1.0,1,0.6850125405618902,1
CUST011931,1,1.0,1.0,0.0,4.0,1.0,1,0.6850125405618902,1
CUST011562,1,1.0,1.0,0.0,4.0,1.0,1,0.6850125405618902,1
CUST013240,1,1.0,1.0,0.0,4.0,1.0,1,0.6850125405618902,1
CUST003018,1,1.0,1.0,0.0,4.0,1.0,1,0.6850125405618902,1
CUST009023,1,1.0,1.0,0.0,4.0,1.0,1,0.6850125405618902,1
CUST016949,1,1.0,1.0,0.0,4.0,1.0,1,0.6850125405618902,1
CUST009289,1,1.0,1.0,0.0,4.0,1.0,1,0.6850125405618902,1
CUST004896,1,1.0,1.0,0.0,4.0,1.0,1,0.6850125405618902,1
CUST007638,1,1.0,1.0,0.0,4.0,1.0,1,0.6850125405618902,1
CUST013114,1,1.0,1.0,0.0,4.0,1.0,1,0.6850125405618902,1
CUST012406,7,0.8571428571428571,0.42857142857142855,0.14285714285714285,0.5714285714285714,0.14285714285714285,7,0.6838968438610512,1
