detection_rate,fraud_amount_caught,total_review_cost,net_benefit,fraud_still_missed,pct_of_total_fraud_caught,scenario,n_claims_reviewed
0.5000386523859661,0.0,0.0,0.0,310764764.54,0.0,A - No control (baseline),0
0.02078204117915126,0.0,0.0,0.0,310764764.54,0.0,A - No control (baseline),0
0.4978376024588078,0.0,0.0,0.0,310764764.54,0.0,A - No control (baseline),0
0.5972904498342121,0.0,0.0,0.0,310764764.54,0.0,A - No control (baseline),0
0.814341567785799,0.0,0.0,0.0,310764764.54,0.0,A - No control (baseline),0
0.27969110931148045,0.0,0.0,0.0,310764764.54,0.0,A - No control (baseline),0
0.9272922854450855,0.0,0.0,0.0,310764764.54,0.0,A - No control (baseline),0
0.7572072049002506,0.0,0.0,0.0,310764764.54,0.0,A - No control (baseline),0
0.19772397978579898,0.0,0.0,0.0,310764764.54,0.0,A - No control (baseline),0
0.3747522354354969,0.0,0.0,0.0,310764764.54,0.0,A - No control (baseline),0
0.747316338917461,0.0,0.0,0.0,310764764.54,0.0,A - No control (baseline),0
0.31107263792932227,0.0,0.0,0.0,310764764.54,0.0,A - No control (baseline),0
0.12205197386131508,0.0,0.0,0.0,310764764.54,0.0,A - No control (baseline),0
0.34109285416020907,0.0,0.0,0.0,310764764.54,0.0,A - No control (baseline),0
0.14942323862378076,0.0,0.0,0.0,310764764.54,0.0,A - No control (baseline),0
0.006726221436888491,0.0,0.0,0.0,310764764.54,0.0,A - No control (baseline),0
0.9124058464921527,0.0,0.0,0.0,310764764.54,0.0,A - No control (baseline),0
0.8388710278451466,0.0,0.0,0.0,310764764.54,0.0,A - No control (baseline),0
0.48883859852322126,0.0,0.0,0.0,310764764.54,0.0,A - No control (baseline),0
0.14359827190657115,0.0,0.0,0.0,310764764.54,0.0,A - No control (baseline),0
0.5500865151923211,0.0,0.0,0.0,310764764.54,0.0,A - No control (baseline),0
0.3819975602689592,0.0,0.0,0.0,310764764.54,0.0,A - No control (baseline),0
0.7482490863737431,0.0,0.0,0.0,310764764.54,0.0,A - No control (baseline),0
0.8115914763230038,0.0,0.0,0.0,310764764.54,0.0,A - No control (baseline),0
0.7429026134085832,0.0,0.0,0.0,310764764.54,0.0,A - No control (baseline),0
0.013428893459364141,0.0,0.0,0.0,310764764.54,0.0,A - No control (baseline),0
0.6526954239021396,0.0,0.0,0.0,310764764.54,0.0,A - No control (baseline),0
0.6230194201037689,0.0,0.0,0.0,310764764.54,0.0,A - No control (baseline),0
0.8853472145367702,0.0,0.0,0.0,310764764.54,0.0,A - No control (baseline),0
0.15593704702050784,0.0,0.0,0.0,310764764.54,0.0,A - No control (baseline),0
0.2284155637976538,0.0,0.0,0.0,310764764.54,0.0,A - No control (baseline),0
0.24603881167952932,0.0,0.0,0.0,310764764.54,0.0,A - No control (baseline),0
0.09754810342070201,0.0,0.0,0.0,310764764.54,0.0,A - No control (baseline),0
0.06455153036796736,0.0,0.0,0.0,310764764.54,0.0,A - No control (baseline),0
0.9761034696015978,0.0,0.0,0.0,310764764.54,0.0,A - No control (baseline),0
0.7872384568372752,0.0,0.0,0.0,310764764.54,0.0,A - No control (baseline),0
0.7503551873927125,0.0,0.0,0.0,310764764.54,0.0,A - No control (baseline),0
0.6865179631366262,0.0,0.0,0.0,310764764.54,0.0,A - No control (baseline),0
0.09401295177682568,0.0,0.0,0.0,310764764.54,0.0,A - No control (baseline),0
0.4926044744954555,0.0,0.0,0.0,310764764.54,0.0,A - No control (baseline),0
0.8841321201446065,0.0,0.0,0.0,310764764.54,0.0,A - No control (baseline),0
0.030515433630581255,0.0,0.0,0.0,310764764.54,0.0,A - No control (baseline),0
0.7440521737036215,0.0,0.0,0.0,310764764.54,0.0,A - No control (baseline),0
0.2030270528673802,0.0,0.0,0.0,310764764.54,0.0,A - No control (baseline),0
0.5208297890008614,0.0,0.0,0.0,310764764.54,0.0,A - No control (baseline),0
0.21275365548657074,0.0,0.0,0.0,310764764.54,0.0,A - No control (baseline),0
0.9202986016497834,0.0,0.0,0.0,310764764.54,0.0,A - No control (baseline),0
0.016377434871020207,0.0,0.0,0.0,310764764.54,0.0,A - No control (baseline),0
0.4333019738640134,0.0,0.0,0.0,310764764.54,0.0,A - No control (baseline),0
0.23336657682988599,0.0,0.0,0.0,310764764.54,0.0,A - No control (baseline),0
0.8543599993912534,0.0,0.0,0.0,310764764.54,0.0,A - No control (baseline),0
0.5504524749617763,0.0,0.0,0.0,310764764.54,0.0,A - No control (baseline),0
0.7998531377753945,0.0,0.0,0.0,310764764.54,0.0,A - No control (baseline),0
0.32658944154575026,0.0,0.0,0.0,310764764.54,0.0,A - No control (baseline),0
0.44953503026334546,0.0,0.0,0.0,310764764.54,0.0,A - No control (baseline),0
0.19568731615745902,0.0,0.0,0.0,310764764.54,0.0,A - No control (baseline),0
0.7810734069621059,0.0,0.0,0.0,310764764.54,0.0,A - No control (baseline),0
0.08864236496749336,0.0,0.0,0.0,310764764.54,0.0,A - No control (baseline),0
0.6151875507390704,0.0,0.0,0.0,310764764.54,0.0,A - No control (baseline),0
0.8483723119790871,0.0,0.0,0.0,310764764.54,0.0,A - No control (baseline),0
0.02565866904621536,0.0,0.0,0.0,310764764.54,0.0,A - No control (baseline),0
0.7023698853714824,0.0,0.0,0.0,310764764.54,0.0,A - No control (baseline),0
0.38466869634540024,0.0,0.0,0.0,310764764.54,0.0,A - No control (baseline),0
0.702239565060903,0.0,0.0,0.0,310764764.54,0.0,A - No control (baseline),0
0.6287734718996201,0.0,0.0,0.0,310764764.54,0.0,A - No control (baseline),0
0.11032356616235402,0.0,0.0,0.0,310764764.54,0.0,A - No control (baseline),0
0.5304032738234153,0.0,0.0,0.0,310764764.54,0.0,A - No control (baseline),0
0.8289636466515842,0.0,0.0,0.0,310764764.54,0.0,A - No control (baseline),0
0.5094002365554038,0.0,0.0,0.0,310764764.54,0.0,A - No control (baseline),0
0.9334153945658027,0.0,0.0,0.0,310764764.54,0.0,A - No control (baseline),0
0.8016932049044744,0.0,0.0,0.0,310764764.54,0.0,A - No control (baseline),0
0.043298837352259395,0.0,0.0,0.0,310764764.54,0.0,A - No control (baseline),0
0.7384097162775493,0.0,0.0,0.0,310764764.54,0.0,A - No control (baseline),0
0.18245813965228597,0.0,0.0,0.0,310764764.54,0.0,A - No control (baseline),0
0.9731935615482908,0.0,0.0,0.0,310764764.54,0.0,A - No control (baseline),0
0.14500495598090202,0.0,0.0,0.0,310764764.54,0.0,A - No control (baseline),0
0.6138203710170206,0.0,0.0,0.0,310764764.54,0.0,A - No control (baseline),0
0.9729085350820673,0.0,0.0,0.0,310764764.54,0.0,A - No control (baseline),0
0.908408199161732,0.0,0.0,0.0,310764764.54,0.0,A - No control (baseline),0
0.47149446786293997,0.0,0.0,0.0,310764764.54,0.0,A - No control (baseline),0
0.15574110361400842,0.0,0.0,0.0,310764764.54,0.0,A - No control (baseline),0
0.7498471967335143,0.0,0.0,0.0,310764764.54,0.0,A - No control (baseline),0
0.15808879632025746,0.0,0.0,0.0,310764764.54,0.0,A - No control (baseline),0
0.10713206466993147,0.0,0.0,0.0,310764764.54,0.0,A - No control (baseline),0
0.08133370260351667,0.0,0.0,0.0,310764764.54,0.0,A - No control (baseline),0
0.5024356193057123,0.0,0.0,0.0,310764764.54,0.0,A - No control (baseline),0
0.8183820649722557,0.0,0.0,0.0,310764764.54,0.0,A - No control (baseline),0
0.18415588415271428,0.0,0.0,0.0,310764764.54,0.0,A - No control (baseline),0
0.023652722597107136,0.0,0.0,0.0,310764764.54,0.0,A - No control (baseline),0
0.01237684574700293,0.0,0.0,0.0,310764764.54,0.0,A - No control (baseline),0
0.046194768469910504,0.0,0.0,0.0,310764764.54,0.0,A - No control (baseline),0
0.11757582234916078,0.0,0.0,0.0,310764764.54,0.0,A - No control (baseline),0
0.1392311516806647,0.0,0.0,0.0,310764764.54,0.0,A - No control (baseline),0
0.5958749452674161,0.0,0.0,0.0,310764764.54,0.0,A - No control (baseline),0
0.5675271350769007,0.0,0.0,0.0,310764764.54,0.0,A - No control (baseline),0
0.808087211074923,0.0,0.0,0.0,310764764.54,0.0,A - No control (baseline),0
0.6316723186147793,0.0,0.0,0.0,310764764.54,0.0,A - No control (baseline),0
0.6093513542922911,0.0,0.0,0.0,310764764.54,0.0,A - No control (baseline),0
0.6027368280259225,0.0,0.0,0.0,310764764.54,0.0,A - No control (baseline),0
0.7771974743838435,0.0,0.0,0.0,310764764.54,0.0,A - No control (baseline),0
0.2539506400234994,0.0,0.0,0.0,310764764.54,0.0,A - No control (baseline),0
0.14463525563546129,0.0,0.0,0.0,310764764.54,0.0,A - No control (baseline),0
0.8231999585309936,0.0,0.0,0.0,310764764.54,0.0,A - No control (baseline),0
0.7677710362251531,0.0,0.0,0.0,310764764.54,0.0,A - No control (baseline),0
0.9036241879300395,0.0,0.0,0.0,310764764.54,0.0,A - No control (baseline),0
0.4727432548150569,0.0,0.0,0.0,310764764.54,0.0,A - No control (baseline),0
0.6558396585698834,0.0,0.0,0.0,310764764.54,0.0,A - No control (baseline),0
0.5997519648286327,0.0,0.0,0.0,310764764.54,0.0,A - No control (baseline),0
0.7250911929993001,0.0,0.0,0.0,310764764.54,0.0,A - No control (baseline),0
0.34476540975680137,0.0,0.0,0.0,310764764.54,0.0,A - No control (baseline),0
0.794827401984757,0.0,0.0,0.0,310764764.54,0.0,A - No control (baseline),0
0.6661716674123531,0.0,0.0,0.0,310764764.54,0.0,A - No control (baseline),0
0.20748681402385072,0.0,0.0,0.0,310764764.54,0.0,A - No control (baseline),0
